Rastriya Beema Company Limited,13,8800.00,8600.00,8600.00,160.00,1391900.00,8644.00,-44.00

Rastriya Beema Company Limited Promoter Share,13,7894.00,7648.00,7894.00,305.00,2359240.00,7650.00,244.00

RASUWAGADHI HYDROPOWER COMPANY LIMITED,184,179.00,168.00,171.00,14638.00,2534946.00,175.00,-4.00

Reliance Finance Ltd.,3,109.00,109.00,109.00,4283.00,466847.00,110.00,-1.00

Ridi Hydropower Development Company Ltd.,20,73.00,69.00,70.00,9292.00,650920.00,74.00,-4.00

RMDC Laghubitta Bittiya Sanstha Ltd.,22,610.00,604.00,607.00,9051.00,5487438.00,604.00,3.00

RSDC Laghubitta Bittiya Sanstha Ltd.,32,328.00,318.00,318.00,2748.00,882292.00,322.00,-4.00

SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,59,555.00,536.00,545.00,4698.00,2567802.00,545.00,0.00

Sagarmatha Insurance Co. Ltd.,21,525.00,498.00,498.00,2088.00,1056675.00,516.00,-18.00

Salt Trading Corporation,38,1698.00,1550.00,1616.00,11942.00,18728589.00,1610.00,6.00

Samata Microfinance Bittiya Sanstha Ltd.,12,565.00,549.00,549.00,962.00,536494.00,554.00,-5.00

Samriddhi Finance Company Limited,10,114.00,108.00,108.00,611.00,67290.00,108.00,0.00

Samudayik Laghubitta Bittiya Sanstha Limited,5,620.00,610.00,610.00,145.00,88650.00,620.00,-10.00

Sana Kisan Bikas Bank Ltd,25,1000.00,989.00,989.00,1915.00,1898730.00,1009.00,-20.00

Sanima Bank Limited,76,319.00,316.00,316.00,27483.00,8728981.00,313.00,3.00

Sanima Equity Fund,5,8.51,8.51,8.51,6500.00,55315.00,8.60,-0.09

Sanima Mai Hydropower Ltd.,14,176.00,172.00,172.00,4216.00,730258.00,175.00,-3.00

SANJEN JALAVIDHYUT COMPANY LIMITED,164,162.00,159.00,159.00,7450.00,1189600.00,161.00,-2.00

Saptakoshi Development Bank Ltd,12,127.00,121.00,123.00,1511.00,186433.00,129.00,-6.00

Shangrila Development Bank Ltd.,33,146.00,142.00,142.00,16470.00,2366728.00,143.00,-1.00

Shikhar Insurance Co. Ltd.,38,885.00,850.00,850.00,3989.00,3415659.00,868.00,-18.00

Shine Resunga Development Bank Ltd.,61,234.00,230.00,230.00,25217.00,6037349.76,234.00,-4.00

SHIVAM CEMENTS LTD,1126,493.00,441.00,445.00,219050.00,103312132.00,457.00,-12.00

Shrijana Finance  (Bittaya Sanstha),8,194.00,184.00,184.00,768.00,144782.00,192.00,-8.00

Siddhartha Bank Limited,44,291.00,288.00,289.00,18143.00,5253589.00,286.00,3.00

Siddhartha Equity Fund,8,8.91,8.80,8.91,18200.00,161820.00,8.74,0.17

Siddhartha Insurance Ltd.,5,424.00,410.00,410.00,260.00,107360.00,416.00,-6.00

Sindhu Bikash Bank Ltd,20,137.00,132.00,135.00,8064.00,1083718.00,132.00,3.00

Soaltee Hotel Limited,22,188.00,183.00,185.00,6265.00,1164755.00,188.00,-3.00

Sparsha Laghubitta Bittiya Sanstha Limited,47,630.00,613.00,618.00,2280.00,1413176.00,612.00,6.00

Standard Chartered Bank Limited,39,541.00,531.00,535.00,2423.00,1298405.00,531.00,4.00

Summit Laghubitta Bittiya Sanstha Limited,18,672.00,638.00,638.00,819.00,534181.00,640.00,-2.00

Sunrise Bank Limited,26,218.00,216.00,217.00,7418.00,1608245.00,216.00,1.00

Support Microfinance Bittiya Sanstha Ltd.,40,600.00,556.00,600.00,1700.00,1015830.00,546.00,54.00

Surya Life Insurance Company Limited,140,304.00,287.00,291.00,27221.00,8018361.00,294.00,-3.00

Swabalamban Laghubitta Bittiya Sanstha Limited,12,825.00,814.00,825.00,1021.00,835134.00,825.00,0.00

Swabhimaan Laghubitta Bittiya Sanstha Limited,11,925.00,872.00,897.00,130.00,116430.00,907.00,-10.00

Swadeshi Laghubitta Bittiya Sanstha Ltd.,15,597.00,576.00,576.00,1789.00,1041024.00,586.00,-10.00

Swarojgar Laghu Bitta Bikas Bank Ltd.,18,561.00,549.00,557.00,1404.00,781000.00,566.00,-9.00

Synergy Power Development Ltd.,1,86.00,86.00,86.00,10.00,860.00,87.00,-1.00

Taragaon Regency Hotel Limited,32,278.00,267.00,267.00,8460.00,2282320.00,274.00,-7.00

Tinau Mission Development Bank Limited,27,157.00,152.00,153.00,5656.00,871810.00,151.00,2.00

Unilever Nepal Limited,1,18941.00,18941.00,18941.00,10.00,189410.00,18571.00,370.00

Union Hydropower Limited,2,58.00,57.00,57.00,60.00,3470.00,57.00,0.00

United Insurance Co. (Nepal) Ltd.,77,307.00,293.00,293.00,10942.00,3276154.00,293.00,0.00

United Modi Hydropower Ltd.,24,112.00,108.00,108.00,3886.00,428998.00,112.00,-4.00

UNIVERSAL POWER COMPANY LTD,21,74.00,72.00,73.00,910.00,66230.00,73.00,0.00

Upper Tamakoshi Hydropower Ltd,226,247.00,235.00,237.00,46247.00,11091077.00,235.00,2.00

Vijaya laghubitta Bittiya Sanstha Ltd.,26,747.00,720.00,722.00,984.00,714607.00,721.00,1.00

